Data Komentar TIKTOK,Labeling
alhamdulilah brand kesayangan approved doktif,positif
mantul,positif
Demi apa doktif approved keren noera ,positif
menyalaaa banget noeraa udah di approve doktif,positif
soalnya saya jg pake noera dok,positif
"noera dibadan aku emang bikin lembut banget, tapi klau untuk nyerahin aga lama banget",positif
yeyyy congratulations Noera  Hb Dosting udah approve seneng banget aku sebagai pengguna Hb Noera pokonya bangga  Cocok lagi dikulit aku Harta tertinggi di perdostingan yaitu Hb Noera,positif
bangga banget sebagai pemakai produk noera Sukses selalu brand² jujur,positif
Emang bner deh noera enggak pernah ada yang overclaim,positif
"jadi jangan ragu sama noera,sudah di approve sma doktif",positif
Selamat ya Bu Owner Noera ,positif
gak tau ke berapa yang penting hadir,netral
terima kasih Bu doktif. emng noera Semantul itu. aku lagi proses smga ada rjkinya dpt giveaway dari Bu owner dpt 1 dus ,positif
waaa serius sihhh,netral
Demi apa udah aproved by doktiv bangga banget sm noera ,positif
neora best emangg,positif
coba dok merk white story,netral
dok review skincare adleeva,netral
Terus berjuang untuk doktif ,positif
tuhkan doktif kalo aman ya aman guys . . .,positif
menyela doktif ku ,positif
Noera emg best,positif
mmng ngga kaleng2 sih noera,positif
makin yakin pake noera karna udah dpt approve dri doktif ,positif
jangan salah DOKTIF approve loh parah sihh. Harus GONG ini,positif
pasti nyaa di approval sma doctif pasti nyaa bagus masyaallah doain aku ya doktif semoga ke notic ,positif
jangan ragu jangan bimbang ini brand noera udah pasti di sayang ,positif
noera udah pasti aman,positif
sekarang baik ya mereview buk,positif
bagus emang noera,positif
Yeayy bangga banget sebagai pemakai hb noera,positif
yyyeeeech... akhirnya emng Noera is the best,positif
rivew day cream san night cream glowsicha donggg,netral
Dok produk glughava please di review sejauh ini bagus harga merakyak biar semua orang tau ada loh produk murah kualitas oke punya,netral
Produk noera emang ga pernah gagal... semua nyaa the best sesuai claim ,positif
Tiba2 banget udah aproved by doktiv love banget sm noera ,positif
aftermyskin dok,netral
kek endors ya,negatif
REVIEW AFTER MY SKIN DOOOKKTIIFFFF,netral
bangga banget jadi pengguna noeraaa,positif
Bangga bangett sama noeraa,positif
yeyyy 🏻🏻🏻,positif
GA USAH DI RAGUIN LAGI SIH INI,positif
Aku yg pake jdi tenang,positif
yeee congrats noeraa,positif
selamat Bu owner udah diuji doktif ,positif
"apeee lagi niiii, auto stok banyak2",positif
Akhirnya udah di riviewww dongggg,positif
yeeeaaaaaa akhir nya ,positif
akhirnya doktif approved,positif
ALHAMDULILAH DOKTIF APROVE,positif
"yay congrats buat noeraa .. owner jujur, amanah selalu jaya",positif
ihhh Happy banget approve by doktif,positif
akhirnya direview doktif juga nih Hb sultan ,positif
"Finally di review, akhirnya sesui feeling ku. menyala kulit glowingakuuu",positif
Wihhh mantepp,positif
congratulations ka rere,positif
ga perlu diragukan lagii ya klo dah di approve sama doktif,positif
gak usah diragukan lagi deh kalo udah di approve doktif ,positif
aku kalo jadi anak doktif pasti ga akan pernah salah pilih scincer ,positif
tuhkann di approved doktif.. jadi pengen cobaiinn,positif
memang gong banget,positif
"noera emg bagus si ngelembabin kulit, wangi lg",positif
gausaaa di raguinnn lagiii produkk noeraa emangggg sebaguss ituu akuu udaa buktiin sendiriii,positif
Yeee akhirnya sudah di approve ,positif
yeay cus ahh nanti cobain ,positif
harus nabung beli Hb ini,positif
next aftermyskin dok soalnya make,netral
dok review infusion whitening night body lotion dabe,netral
semoga suara mu meng EDUKASI BANYAK ORANG,positif
Otw beli  makasih doktif,positif
Wah makasih infonya doktif jadi gak takut mau beli,positif
cobak akiofit,netral
Waaahhhh sudah approved doktif,positif
"yeayyyy, seneng banget Hb sultan kecintaan aku di approved doktif, maaciii banyak doktif sayanggg",positif
"doktif pernah review glowglowing belum sih,plis bantu jawab",netral
doktif review you cun mei lokal sama import dongg,positif
yeayyyyy senengg bangett brand fav akuuu,positif
jestham dok,netral
mauu doktiff,positif
selamat buka puasa doktif,netral
skincare glowglowingg dokktifff🗣️,netral
dok kojic plankton aman kan,netral
plisss dok review day cream glowglowing ,netral
ini ma bukan konsumen memang mau ngeriview doktif ,positif
cek glughava dok ?,netral
"doktif, tapi banyak dokter yang lain bilang kalau semua hb dosting itu berbahaya, tidak ada yang aman, apa itu benar doktif?",netral
klo paginya pke yg ada kandungan sunblocknya cocok ga dok?,netral
aftermyskin dok,netral
Marina coba dok,netral
"pantesan ngaruh dok Langs bersih walupun ga Langs putih tapi ada perubahan nya jadi bersih, kalo rutin pakai mungakin sudah putih. aku jarang pakai karna suka malas malasan mau otw 2 pot",positif
next aftermyskin dok rame juga tu brand,netral
cantiknya doktifnya kakek ,positif
akhirr nyaa doktif approved,positif
doktif kapan si gerombolan sirkus pakai baju oyen,netral
jaya doktipp... Alloh yg akan membalas kebaikanmu,positif
Kongratss ka reree,positif
"udah di review dr. abel, di approved doktif. OTWW BELII",positif
goglowing dokkk,netral
"Harga nya gong banget.. ada harga, ada kualitas yah",positif
udahhhh beliiii,positif
doktif coba kedas beuty,netral
"guys doktif udah pernah review drw skincare blm si ? temen kekeuh pengen pake itu,tapi nyari² review doktif buat di kasih tau ga nemu²",positif
Hb triyen dok,netral
hb arthaa dokk,positif
aku pakai itu baru 3 hari,netral
"dok, review body lotion mamzi yg katanya niacinamide 10%",netral
kalo yass donk doktif,netral
manttttabbss noeraa,positif
Yeaayyy hb dosting kecintaanku,positif
riview PAKET NYYO dok,netral
COSRX Niacinamide 15% serum itu dok,positif
dokk Plis review Mandela Beauty care dok,positif
AKHIRNYAAA,positif
Yeeeyyyy hb kecintaaan,positif
"aaachhhhh aku juga dah cobain, untuk kulit sensitif aku aman dan ngefek cerahin kulit... seneng sih dah di approve doktifcusss lgsg borong ",positif
semangat dok ,positif
untuk bumil aman ga dok?,netral
plis. review jujur. kulitku kusem banget.mau beli masih maju mundur yg ini apa yassbeauty.,netral
Aaaa akhirnya hb dostingaku di approve doktif,positif
Review aftermyskin dok,netral
Coba test afterskin dok hb merah sama sabunnya yang beli join livenya banyak pool,netral
berarti buattt bumill gpp kan doktif hbnya,netral
"dokter Jastip medan, diantisipasi dok",netral
"Thankyou doktif panjang umur sehat selalu,berkat doktif kita jadi tau ",positif
"emang real, aku pake setengah udah ada hasil",positif
NAHDAH SKINCARE DOK PLISSS,netral
Seruni dok,netral
Wah di review doktif,positif
emang gausaa diraguin lagii noera tuhhh,netral
review seruni skincare dok,netral
wah makin menyala ,positif
noera emang juaranya,positif
wahh doktif approve,positif
ayok ambyarin dok!!! punyaku udah tinggal dikitttt banget ,positif
"biar ngaruh ,paginya pkai lotion apa gais?",netral
se ngaruh itu siiihhh tp wajib sunblock sm pelembab,positif
congratulations noera,positif
percaya aku mah sama Noera ,positif
ini emangg baguss wangii bangettt,positif
selamat Bu owner produk noera terjadi aman ,positif
makin menyala noera,positif
"wahhh congrat ka rere, semoga semakin mengalir rejekinya",positif
dok skinvu dok plis pengen beli,netral
makasih dok dh gak ragu lgi ,positif
noera emang gong banget doktif GG pernah overclaim ,positif
masyaAllah makin semangat aq promosikan noera..bener2 mantul kalian wajib coba ,positif
alasan pengen banget cobain produk noera ya ini,positif
dok coba riview coolvita ,netral
Gong banget emang noera ,positif
yg bikin pngen banget cobain produk noera ya inii,positif
yeayy congrats noera,positif
handbody dosting nya ms glow donk dok??,netral
akhirnya bangga banget sma doktif mksh doktiff,positif
YEYYY THANKYOUUUUU DOKTIIFFF jadi ga maju mundur lagi ,positif
alhamdulillah doktif ,positif
gak salh pilih berrt dr dl pk noera smua varian,positif
aku pake hsil nya baggus,positif
semakin yakin pakek Hb noera,positif
wihh noera approved,positif
"bangga dech bisa pake produk nya Noera.
selamat kak Rere kr produknya dah do aprooce doktif",positif
Keren abis dech pokoknya dengan produk Noera. selamat ya Kak Rere selaku owner ,positif
makin yakin nihh sama produk nya noera karena udah doktif approved.. ,positif
noera mah emng gong bangettt,positif
yeayyy HB Noera di aproupd doktif ,positif
MANTAP . JADI KITA GAK KHAWATIR YA BEST KARENA HB NOERA DIJAMIN BAGUS ,positif
dok kalo kulit sensitif parah pake suncreenn apa yg cocok,netral
"akhirnya doktif approve juga, otw co noera",positif
Approved ga kaleng” emang noera,positif
Produk Noera memang mantuls,positif
makin yakin pake noera,positif
Noera emang ga kaleng2 dok,positif
"hb dosting noera emng gak perlu diragukan lagi sih emng bagus banget dan hasilnya nyata,aku sampek beli bnyak krna beneran bagus banget sih",positif
"alhamdulillah akhirnya, sukses selalu noera",positif
"YEEYY,, CONGRAST NOERA‼️‼️",positif
"selamat Bu owner noera, akhirnya produk Hb noera yg paling gong buat cerahin badan di approved doktif 
",positif
gausah diraguin lagi produk noera,positif
"Owner yg kalem2 aja, tp produknya bagus2 & terbukti sesuai claimnya yg ginilahh yg harusnya di apresiasi bikin bangga sm buatan lokal, Noera Noera paling best deh pokoknya",positif
ikuttt seneng dongg produk nya memang bagus- bagus dr noera...,positif
pengen banget noera,positif
Yeayy congrats noera,positif
The besttttttt emang noera,positif
selamat noera,positif
yey aku baru pemula pke Hb nya noera the bestt bngett kulit aku jadi lumayan lembab aku bru pke 5 harian ,positif
Bismillah tinggal ngumpulin dananya,positif
Afiliator noera bangga liat ini,positif
udah approve nih tinggal dananya aja sih buat beli,positif
MasyaAllah,positif
dok. kalau dabe beauty?,netral
menyala body lotion Noera,positif
nunggu banget bisa Co kemaren ketinggalan ,positif
"Akhirnya dokter approved, emng the best noera",positif
selamat Noera. kak Rere SDH approve doktif,positif
congrats noera udah approve doktif,positif
"MasyaAllah ,gak perlu ragu lagi pake produk noera..aq makin semangat promosinya.",positif
"akuu sebagai pemakai hb dosting nyaa bangga banget
contrast kakk rere",positif
Hb triyen ka,netral
"wahh bangga Banget, noera d approve sama doktif ",positif
skincare reboskin ka,netral
Keren banget noera,positif
"dokk, glowsicha aman ga yaa",netral
selamat bu owner noera ,positif
"yeayy,noera emg mantepp ",positif
Haiii aku juga pengguna hb dosting noera,positif
Masya Allah emng debes bngt produk noera ,positif
noera emang terbukti amannn horeee,positif
pecinta noera ,positif
coba hb syahila dok,netral
Aa masyallah noera,positif
yeeeeeay  congratz noera ,positif
selamat bu owner poduk noera approved,positif
noera ini bagus dicombo pake apa ya,netral
noera the best,positif
selamat Bu owner aman semuax produk noera,positif
Aku slalu pake brand nya noera,positif
Hb noera emang best,positif
noera emang kualitas nya bagus banget semua produk,positif
"udah coba beberapa produk noera, dan hsilnya mntul",positif
ahh hb kuning noera udah kena approved doktif seneng deh denger nya,positif
emang produk noera tu ngak ada yg gagal pliss,positif
emang mantap noera mah,positif
jadi gak ragu kan sama hb noera ,positif
"Jadi ga usah ragu lagi sma noera,noera the best ",positif
"noera ga perlu diraguin lagi, emang sebagus itu dan udah uji lab",positif
CONGRATS NOERA ,positif
hb noera jan jos,positif
congrats noera,positif
akhirnya doktif notice noera ,positif
sukses selalu noera..,positif
aku pake noera juga,positif
noera bpom aman gesss bukan kaleng kaleng,positif
Bgus mn sih noera sm lauskin?gak trma buzzer please🏻,positif
Uda makin yakin nihh .mau jualan noeraUda di tes juga sama doktif,positif
"bangga bangget ama noera
trimakasih doktiff",positif
Masya Allah.. gak di ragukan lagi. Terbaik noera ,positif
Congrats kaka Noera  auto langsung pen nyetok banget ,positif
dokk.. udah 2 bulan Make hb noera tp kenapa badanku masih gatal gatal nii dokkk,negatif
yey Hb dosting noera sudah doktif approve ,positif
"yeay!! alhamdullillah, noera mah ga di ragukan lg pokonya",positif
gak usah diragukan lagi produk² noera ,positif
mantul noera ,positif
congrats noera kuuuu,positif
emang the best noera,positif
gausa diragukan lagi produk noera,positif
tenang aja ! Ngg ush di raguin lagi produk NOERA THE BEST,positif
keren noera ..aku sebagai pemakai bangga,positif
Noera gak pernah ngecawain produknya real nyata dan ada hasilnya doktif,positif
Emang ga pernah ragu sama produk NOERA udah pasti bagus ,positif
dah lah noera ,netral
lacera dok,netral
"produk noera emang ga pernah gagal, semua aman dan bagus",positif
klo minuman kolagennya gimana dok?,netral
"makasih dok,jadi ngga ragu nih mau cobain",positif
Doktif udah aprroveddd tanda nya aman bukan overclaim,positif
"makasih dok,, otw beli ah ",positif
Otw co ga ragu lagi doktif approve,positif
panikkk hasilnya memuaskan,positif
baru CO baru nyobak,netral
hb ms gloww donk plisss,netral
review SN GLOWING doktif,netral
"baru saja datang,alhamdulillah doktif approve",positif
jadi kepoooo,netral
selamat bu ownerr,positif
wihh udah doktif approve,positif
Selamat ka rereeee,positif
kapan live doktif ,netral
otw co doktifmakasih sdah di review ini yg aku tunggu* dari kmren mau co maju mundur,positif
Emang sebagus ituu bangga bangett pokonya sama produk ini,positif
masyallahh,positif
makin gercep kalo udah approved ,positif
trimakasih dokk,positif
owner ter pd uhuy ga nihh gusy simakk best biar dapat hasil mantul biar kalian pd seperti owner inii,positif
emangg sebagus itu produk noeraa ,positif
emangg sebaguss itu produk noeraa mahh,positif
yeayyyyy,positif
ada rekomendasi handbody spf pagi hari itu ga doktif??,netral
wahh kan gak usah diragukan lagi emng best bngt,positif
mantep banget Kak Rere ,positif
yeyee,positif
dokt aman buat bumil ga ?,netral
yeayy congrats noeraa,positif
keren banget udah di approve doktif,positif
Memang Mantuls,positif
Selamat bu owner ,positif
Mantap banget kak rere ,positif
doktif approved,positif
"makasih doktif udah review, otw checkout",positif
dok klo paketan dari DRW skincare itu sudah aman blom,netral
doktif aja udah aproufp nih udah pasti akan,positif
JUJUR NOERA EMG BAGUS!!! Aku make lip serum nya bibir ku jadi pink poll,positif
Masya Allah tabarakallah,positif
cek white story dok,netral
gak nyangaka udah di approve sama dokter ,positif
YEYYYYYYYY CONGRATS BUK OWNER,positif
"congrats ka rere, semoga usahanya makin berkah",positif
wahh alhamdulillah gak overclaim,positif
harus bngt cekout nnti,positif
ayeyyy wopyu doktif,netral
asikkk ,positif
doktif aprove,positif
Finally ,positif
waduhh emng dri dlu ga curigaan sihh org semantul ituu ,positif
Kalau udah sampe doktif udah amaan mah,positif
Kemarin² tkut beli ini skrng ada Approve dari Doktip jadi ga ragu buat beli nanti,positif
Hb msglow,netral
Ini pertama kali aku berani pakek HB seumur hidupku ,netral
"Udah deg2 pas awal soale udah co kemarin, baru mau nyoba .. dan ini baru liat doktif.. alkhamdullah lega dengernya ",positif
aku pakai. ini juga dokk,netral
Alhamdulillah ,positif
selamat ibuu owner!,positif
yaudah beli deh,positif
makin percaya nih kalo udah di review doktif,positif
noeraa emang gapernah gagal selalu baguss produknyaa dari dulu pengen banget nyoba tapi belum kesampaian ,positif
mantap,positif
doktif riview bodylotion Arta,netral
mantullll,positif
akhirnyaa yuk 2025 pake hb yang aman aman aja yang gak over claim,positif
masyaallah,positif
"mksh doktif udah di approve kebetulan sy mmang ngincar produk ini, tp sblm doktif review rasanya ragu tkut brbhya",positif
yeayy akhirnya,positif
congrats di approve doktif ,positif
cek glome skin nya juga doktif yg pil,netral
"awaly aku gak percaya dgn skincare yg tiba2 menjamur kaya kutu air,eehh ada doktif muncul dan aku makin gak percaya lg..setia dgn produk lama yg upgred komposisinya sesuai kebutuhan kulit",negatif
"doktif cek handbody marina yg wrna biru dok,",netral
akhirnya aprovee ,positif
waahhh... ,netral
Buat kulit sensitif bisa gak ya,netral
Wow keren di approved doktif ,positif
riview kedas beauty dok,netral
salmon DNA plissss dokk reviewww yg packing nya pink,netral
Dok coba Olay ,netral
Masya Allah udah di rivew sama doktif dan udah approvee jugaa,positif
wahh akhirnya doktof approved ,positif
yeeeyyy selamat ,positif
Wahhhh brand yg ditunggu2 buat di review doktif,positif
skincare yg paling jujur yg aku tau neora yakann,positif
kalo Hb yass gimna dok q pke enak banget,netral
Produkkk kecintaankuuu noeraaaa,positif
mantap udah approve doktif,positif
gimana dgn lotion bmg,netral
Otw co,netral
kak pliss review body lotion ini soalnya murah bngt beauty talk,netral
"akuu pakaii hbdostingg noeraa ngaruh bangettt, belinyaa slalu nunggu war oas livee biar dapett diskonnnnn",positif
gak sia2 pilih skincare ,positif
next hb aftermyskin buk dok,netral
hb dosting nya artha kapan yaa,netral
Mauu ,netral
semeng bngtt di approve,positif
selamattt ka rereeee,positif
doktif cobaa cream docsherr pliss,netral
klo udah doktif approve ga usah diragukan lagii psti mantul,positif
"mending pake citra udah murah aman lagi,",netral
udah approve doktif ngga usah diragukan lagi,positif
"Keren yaallahhhhhh,, ga gagal kalo produk yg satu ini ",positif
Ikut senang karena aku pake juga ,positif
masyallah HB kecintaanku,positif
Betul bangett si aku baru pake 2 mingguan udah keliatan,positif
txs doktif,positif
yeyyyy aprove ownernya baik bngt sih jujur ,positif
congrats kak rere ,positif
masyallah tabarakallah udah di approve sama doktiff,positif
Yey akhir nya di notice doktif dan Gak salah pilih hb  Maksih dok,positif
"Collagen pemutih nya gimna dok,aman ngak???",netral
Akhirnya produk kecintaanku tidak OVERCLAIMMMMMM,positif
udah di rivew sama doktif otw co marikita cobaaa,positif
yeehheee congrats noeraa,positif
jestham dok,netral
"aku bangga banget dengan produk yg satu ini, karna aku juga pakek eh di approve sama doktif aw menyala kulitku ",positif
doktif aja approved masa kamu enggak,positif
aaa bangga banget,positif
"congrats ka Rere, Hb Sultan gak kaleng kaleng berani cantumin kandungan nya dan emang real banget ",positif
yeayyyyy akhirnya approve doktif,positif
Selamat yah kak rere hb dosting sudah di approved,positif
tdi fyp ke aku juga,netral
yeee akhirnya kan,positif
aman Alhamdulillah,positif
Alhamdulillah approve doktif,positif
Menyala ,positif
Alhamdulillah  tenang lagi  congretssssss noera,positif
lotion akuuhhhhh,netral
"masyaallah, congratss kak rere",positif
aman gaess,positif
mantab owner,positif
doktifff thinkgakiu ,netral
menyalahh doktiff,positif
ternyata bukan aku aja yang jadi gosong padahal beli banyak,negatif
bagus banget produk ny,positif
"Asiiikkk udah direview doktif, trusted! ",positif
dokk riview bady lation g2d,netral
dok aman gak retinol g2g untuk busui,netral
Aman utk bumil ga ya?,netral
Cba brand dari yoni skincare dok,netral
yeee hb yg aku pake,positif
mantappp,positif
Lagi nabung dulu buat beli ni produk,netral
keren bangett noeraaa congratss uda di approved doktif! ,positif
maydoza aman g dok,netral
congrats noeraaaa ,positif
nah kalau gini aku percaya saatnya beli,positif
Bangga bngt karna aku pakai  emang hb ini buagussss polllll,positif
alhamdulilah yaa allahh hb noeraaa di approve doktif,positif
gaperlu di raguin lagii,positif
Sudahhh terjaminn dan doktifff approve,positif
WAWWW KEREENNN,positif
"gak panik biasa j,",netral
yeeeeeeaayyyy,positif
doktif aja udah approved nihh,positif
yeeehhh congraatsss Norea ,positif
trimaksih  doktif ,positif
"masya allah, ga dilema lgi ni. auto beli ",positif
JD gak ragu lagi buat co noeraaa,positif
Alhamdulillah approved,positif
SINI KU BACK SEMUA AFFILIATE TIKTOK ,netral
yeayyyyyyy ,positif
yeayy,positif
akhirnya doktif aprovved ,positif
waaa selamat kak ,positif
menyala noeraa,positif
aaa finallyyy Hb sultann kuuu,positif
emang gonggg bnget sih,positif
doktif aja approved. udah pasti aman nih,positif
dorskin dok yg hijau Tlng d review ,netral
the best seller ,positif
wihh congrats noeraa,positif
akhirnya di review doktif,positif
yeeehhh akhirnya bisa lanjutkan jangaka panjang ,positif
yeeeee,netral
yeee gak nyesel deh pakek ini,positif
Sudah direview dokter ,netral
"congrats kaaa reiii, mantep bangett emang noeraa",positif
body lotion triyen dok,netral
NS beauty blum ya,netral
"sukses selaluu dehh produk noeraa
sukaaa samaaa produk"""" nyaa",positif
Udah aman yaa berarti produknya wajib coba ,positif
makasih doktif sudah approve,positif
gak salah pilih hb dosting gak slah kulit makin cerah ,positif
,positif
q baru paki noera tone up kulitku yg badak nh sedikit naek,netral
doktif please pengen dong ss facetology d ujikan,positif
yeayy congratts kak rere,positif
"makasih banyak dok,congrats kak",negatif
ada versi miskin nya ga dok ,netral
udah pake dong,positif
Tuh kann kalo udah di rekomen sm doktif udah pasti menyalaaaaa,positif
selamt kk rere ,netral
dok review,netral
"Dok, coba review produk oriflame sama wardah dong",positif
,positif
udah doktif approve dong,netral
seneng banget deh approved doktif  selamat Bu owner,positif
glycolic acid Autumn ganti ini dong dok,netral
,positif
Selamatttt bu ownerrr,positif
Dok tolong review Hb dosting arvil,positif
jangan di raguin lagi nih bred satu ini,positif
Yee akhirnya selamat ya,positif
makasi doktiff owner noera bner2 no 1 kan ingredients nya,netral
Selamat,netral
Hb noera emang bagus banget sihh,positif
dok tolong Artha dong,positif
"mauu kak rere,semoga dapett udah sering iku challen sama giveaway tapi gak pernah dapetttt️semoga kaliii in dapetttttt amiinnnnn",positif
menyallaaaaaa ga tuh HB kecintaan ,positif
congratsss noeraaaa,positif
"congratulation kak rere. HB udah approve by dokter detektif . tetap jadi owner brand yang jujur dan amanah ya kak. terimakasih sudah menciptakan produk bagus buat kita"" yang pengen cepet putih tapi tetap aman dan sudah bpom",positif
mantappppp,positif
jdi ga maju mundur pen cobaik,positif
akhirnya di review juga udah pake 2 pot soalnya Alhamdulillah kalau amanah ,positif
Ach.....makin makin pokok nya kalo doktif udah muncul gini  pasti di approvef,positif
Keren banget bu ownerr,positif
selamattt kak,positif
selamat Bu owner.. produk besseler sekali ,positif
mantap sekali ,positif
waww makin bagus nihhh,positif
Wiih udah approve dong ,netral
CONGRATS NOERAAAA,positif
alhamdulilah,positif
"hrga nya jga bkin bangga,smpe2 emak² hrus ngumpulin ",netral
approve doktif dong best banget,positif
MashaAllah akhirnya di approve doktif.. Congrats kak,positif
salsa dok,positif
yeyy approve doktif,positif
wahh makasih dokter noeraku approved,positif
akhirnyaa approve doktif,positif
"NAHKANN, EMANG GACOR NOERA TUHHH",positif
"aku melirik jg gara-gara dok.grandkatanya klo mau cepet pke Hb noera, ok gasss",positif
congratsss ka rere masyaallah di approve doktif,positif
akhirnya ,netral
Yeeyyy tuh udah aprove doktif,positif
,netral
"wah senang juga aku pake ini juga,enak banget lembut dikulit,wanginya enak lagii",positif
coba Numisa skincare dok,positif
semogaa beruntung ,positif
Alhamdulillah approved ️,positif
Aku pake HB neora mantul pokoknya,positif
mantuullll ka reeeeee,positif
noeraa emng betss,positif
Keren,netral
Bismillah done share tuh kan noera emang gak ada lawan nya doktif aja udah approve,netral
AAAAA AKHIRNYA HB DOSTING KECINTAAN AKU UDAH DI APPROVE DOKTIF,positif
menyala Hb ku,positif
Untuk busui bisa pake dok? Gak ngaruh di asi?,positif
kjoel dong dok lagi booming bngttt aku juga pake,positif
congrats noera,positif
"waahhh noera di approve doktif nihhh, congrats kak rere terus menyala noeraku",positif
wahh noera,positif
Dah aproved nih jangan ragu lagi,positif
aman aman mencerahkan saking aman nya orang orang jadi kecanduan,positif
auto beli ,positif
nehkann apa kata gue produk noera ga pernah gagal dr segi kandungan kualitas diborong smua,positif
Hb terterbadaiiii pokonya,positif
aaaa approved ,positif
produk selalu beli lagi beli lagi dan ga overclaim,positif
selamat ka rere ,netral
"seneng banget bs ada doktive skrng aku pake viva,kulitku cerah an &sehat.trimkasih doktive.cantik tdk hrs mahal.aku pake daviena g ada perubhan",positif
CONGRATS NOERAAAA,negatif
Emang best deh Noera,positif
wkwk ,netral
Congratssss kakk,positif
Sy pakai kulit gatal mgakin tak sesuai,negatif
dokter makasihhhh,positif
yeayyyyyy neoraaa,positif
,positif
"emang gak kaleng"" produk noera",netral
aman ya ,netral
aftermyskin dok,positif
yeaayyy produk noera di approve doktif,positif
ikj doktif aja approve,positif
wah semakin yakin pakai noera,positif
aku pemakai hb noera emng sebagus ituuuuu,positif
emang gak salah pilih si pake Noera,positif
akhirnyaa di approve sama doktif,netral
dok rekomendasi lotion pelindung matahari yg murah tapi bgus.. ,positif
bangga banget sama noera ,positif
Congrats kak rere noera,positif
hb sultan mah kualitasnya ga kaleng²,positif
